Date,Open ,High ,Low ,Close ,Volume
7-Feb-18,161.65,163.4,158.76,158.9,409336
8-Feb-18,159.8,161,155.03,156.25,433110
9-Feb-18,156.51,157.89,150.24,156.74,543160
12-Feb-18,157.65,163.89,157,162.65,458969
13-Feb-18,162.65,164.75,161.43,164.1,266231
14-Feb-18,165,168.93,161.79,168.93,329474
15-Feb-18,169.6,173.3,168.87,173.3,447937
16-Feb-18,173.35,174.82,171.77,171.95,344892
20-Feb-18,171.1,174.26,170.18,172.23,291157
21-Feb-18,171.9,174.11,170.42,170.55,311703
22-Feb-18,170.55,173.95,170,173.02,268722
23-Feb-18,173.3,175.75,173.25,175.48,282591
26-Feb-18,176,179.39,175.91,179.05,322822
27-Feb-18,179.02,180.48,178.16,178.75,332757
28-Feb-18,178.71,180.62,178.06,178.49,281872
1-Mar-18,179.37,179.78,172.66,175.19,413333
2-Mar-18,174.37,176.3,172.2,176.05,325633
5-Mar-18,176.1,177.74,174.52,176.89,230149
6-Mar-18,177.37,178.25,173.4,173.94,202621
7-Mar-18,175,175.85,174.27,174.9,261639
8-Mar-18,175,177.12,174.9,177.07,197289
9-Mar-18,177.07,180,176.5,179.85,257860
12-Mar-18,180.1,182.39,180.1,181.89,281157
13-Mar-18,181.5,183.5,179.01,179.82,269306
14-Mar-18,180.05,181.08,177.81,178.6,250332
15-Mar-18,178.43,180.24,178.07,179,187992
16-Mar-18,178.65,179.12,177.62,178.15,233533
19-Mar-18,177,177.47,173.66,174.75,267591
20-Mar-18,175.51,176.8,174.94,175.37,159017
21-Mar-18,175,175.51,171.27,171.77,303369
22-Mar-18,171.3,172.68,167.55,167.7,347483
23-Mar-18,168.11,169.92,164.92,165.15,322725
26-Mar-18,166.85,173.1,166.44,173,282622
27-Mar-18,173.3,175.15,167,168.75,334708
28-Mar-18,167.9,170.02,165.19,166.85,327682
29-Mar-18,167.8,171.75,166.9,168.17,259621
2-Apr-18,167.6,168.94,164.47,166.58,294366
3-Apr-18,167.5,168.75,164.88,168,236945
4-Apr-18,165.75,172.01,163.59,171.98,278635
5-Apr-18,173.01,174.24,169.19,169.59,222113
6-Apr-18,170.81,172.48,168.2,168.49,264873
9-Apr-18,170.14,173.09,169.6,170.14,236306
10-Apr-18,172.23,174,171.59,172.9,236439
11-Apr-18,172.5,173.93,171.51,172.72,182511
12-Apr-18,172.5,175,172,173.98,192731
